date,ticker,score,rank,position,suggested_lots
2026-05-18,1617.T,-0.07133155712,16,short,1
2026-05-18,1618.T,0.06258553394,4,long,1
2026-05-18,1619.T,-0.001334680916,11,neutral,0
2026-05-18,1620.T,-0.002756959938,12,neutral,0
2026-05-18,1621.T,-0.07007485606,15,short,1
2026-05-18,1622.T,0.00147347349,6,neutral,0
2026-05-18,1623.T,-0.00110980368,10,neutral,0
2026-05-18,1624.T,0.000926614148,7,neutral,0
2026-05-18,1625.T,0.06555898241,2,long,0
2026-05-18,1626.T,0.002182142073,5,long,1
2026-05-18,1627.T,-0.07519209362,17,short,4
2026-05-18,1628.T,-0.007630978722,13,short,2
2026-05-18,1629.T,0.07281954413,1,long,174
2026-05-18,1630.T,-0.06973933002,14,short,1
2026-05-18,1631.T,0.06304001707,3,long,1
2026-05-18,1632.T,-0.001088233942,9,neutral,0
2026-05-18,1633.T,-0.0003450347454,8,neutral,0
