date,ticker,score,rank,position,suggested_lots
2026-06-11,1617.T,-0.1121683692,16,short,1
2026-06-11,1618.T,0.09789381467,4,long,1
2026-06-11,1619.T,0.01397734174,8,neutral,0
2026-06-11,1620.T,0.01987569006,7,neutral,0
2026-06-11,1621.T,-0.1097988541,14,short,1
2026-06-11,1622.T,0.00423018332,9,neutral,0
2026-06-11,1623.T,0.02589703944,5,long,0
2026-06-11,1624.T,0.02024802937,6,neutral,0
2026-06-11,1625.T,0.1299560847,1,long,0
2026-06-11,1626.T,0.00251073239,11,neutral,0
2026-06-11,1627.T,-0.1211268544,17,short,4
2026-06-11,1628.T,-0.0149523337,13,short,2
2026-06-11,1629.T,0.1273069832,2,long,200
2026-06-11,1630.T,-0.1105449513,15,short,1
2026-06-11,1631.T,0.1097766758,3,long,1
2026-06-11,1632.T,0.00122441576,12,neutral,0
2026-06-11,1633.T,0.002915178584,10,neutral,0
