date,ticker,score,rank,position,suggested_lots
2026-06-09,1617.T,0.03311066559,1,long,1
2026-06-09,1618.T,-0.03096126924,17,short,1
2026-06-09,1619.T,0.004856612218,7,neutral,0
2026-06-09,1620.T,0.005607615581,5,long,1
2026-06-09,1621.T,0.02995922633,3,long,1
2026-06-09,1622.T,-0.001236120818,12,neutral,0
2026-06-09,1623.T,0.0006723106201,10,neutral,0
2026-06-09,1624.T,-0.0004233354203,11,neutral,0
2026-06-09,1625.T,-0.02587196408,16,short,0
2026-06-09,1626.T,-0.004126095862,13,short,1
2026-06-09,1627.T,0.01865005182,4,long,4
2026-06-09,1628.T,0.001373906171,9,neutral,0
2026-06-09,1629.T,-0.02394511785,14,short,196
2026-06-09,1630.T,0.03091238861,2,long,1
2026-06-09,1631.T,-0.02469592574,15,short,1
2026-06-09,1632.T,0.003878848853,8,neutral,0
2026-06-09,1633.T,0.005584934239,6,neutral,0
