date,ticker,score,rank,position,suggested_lots
2026-06-22,1617.T,-0.06758718222,17,short,1
2026-06-22,1618.T,0.0607424903,3,long,1
2026-06-22,1619.T,7.780376518e-05,10,neutral,0
2026-06-22,1620.T,0.0002842195421,9,neutral,0
2026-06-22,1621.T,-0.06398297503,15,short,1
2026-06-22,1622.T,0.001947311581,8,neutral,0
2026-06-22,1623.T,0.007549453657,5,long,0
2026-06-22,1624.T,0.006768277837,6,neutral,0
2026-06-22,1625.T,0.06507476768,1,long,0
2026-06-22,1626.T,0.004160292309,7,neutral,0
2026-06-22,1627.T,-0.05861104116,14,short,4
2026-06-22,1628.T,-0.007108695953,13,short,2
2026-06-22,1629.T,0.06476839322,2,long,198
2026-06-22,1630.T,-0.06434156823,16,short,1
2026-06-22,1631.T,0.05803127958,4,long,1
2026-06-22,1632.T,-0.00311619418,11,neutral,0
2026-06-22,1633.T,-0.004636677894,12,neutral,0
