date,ticker,score,rank,position,suggested_lots
2026-06-01,1617.T,-0.2306386778,17,short,1
2026-06-01,1618.T,0.2276647453,2,long,1
2026-06-01,1619.T,-0.005081548491,8,neutral,0
2026-06-01,1620.T,-0.006831798134,10,neutral,0
2026-06-01,1621.T,-0.220432098,15,short,1
2026-06-01,1622.T,0.01162735427,7,neutral,0
2026-06-01,1623.T,0.01493406621,6,neutral,0
2026-06-01,1624.T,0.02212730664,5,long,0
2026-06-01,1625.T,0.2165075033,3,long,0
2026-06-01,1626.T,-0.005231846922,9,neutral,0
2026-06-01,1627.T,-0.2002167878,14,short,4
2026-06-01,1628.T,-0.007208433193,11,neutral,0
2026-06-01,1629.T,0.2305627882,1,long,190
2026-06-01,1630.T,-0.2244573033,16,short,1
2026-06-01,1631.T,0.2064027244,4,long,1
2026-06-01,1632.T,-0.01020576191,13,short,1
2026-06-01,1633.T,-0.007497306429,12,neutral,0
