date,ticker,score,rank,position,suggested_lots
2026-06-23,1617.T,0.2117438208,1,long,1
2026-06-23,1618.T,-0.194845161,15,short,1
2026-06-23,1619.T,-0.009440331272,10,neutral,0
2026-06-23,1620.T,-0.0159538756,11,neutral,0
2026-06-23,1621.T,0.2036213049,3,long,1
2026-06-23,1622.T,-0.006481995672,8,neutral,0
2026-06-23,1623.T,-0.03646105395,13,short,0
2026-06-23,1624.T,-0.02907368938,12,neutral,0
2026-06-23,1625.T,-0.2175992452,17,short,0
2026-06-23,1626.T,-0.008055796032,9,neutral,0
2026-06-23,1627.T,0.1964885213,4,long,4
2026-06-23,1628.T,0.02486311024,5,long,2
2026-06-23,1629.T,-0.2134623609,16,short,200
2026-06-23,1630.T,0.2050000211,2,long,1
2026-06-23,1631.T,-0.1863132472,14,short,1
2026-06-23,1632.T,0.007871792325,7,neutral,0
2026-06-23,1633.T,0.009956747707,6,neutral,0
