date,ticker,score,rank,position,suggested_lots
2026-08-13,1617.T,0.09555336001,3,long,1
2026-08-13,1618.T,-0.07390789804,15,short,1
2026-08-13,1619.T,-0.01645469935,10,neutral,0
2026-08-13,1620.T,-0.02245646637,11,neutral,0
2026-08-13,1621.T,0.09956386143,2,long,1
2026-08-13,1622.T,0.009110710711,7,neutral,0
2026-08-13,1623.T,-0.02728532815,13,short,0
2026-08-13,1624.T,-0.02611593997,12,neutral,0
2026-08-13,1625.T,-0.1034191861,17,short,0
2026-08-13,1626.T,-0.00366639257,9,neutral,0
2026-08-13,1627.T,0.07438846313,4,long,4
2026-08-13,1628.T,0.02681390152,5,long,2
2026-08-13,1629.T,-0.07239587093,14,short,185
2026-08-13,1630.T,0.1051814693,1,long,1
2026-08-13,1631.T,-0.07985522236,16,short,1
2026-08-13,1632.T,0.002420674964,8,neutral,0
2026-08-13,1633.T,0.01476715455,6,neutral,0
