date,ticker,score,rank,position,suggested_lots
2026-06-18,1617.T,0.1888769613,1,long,1
2026-06-18,1618.T,-0.1591548676,15,short,1
2026-06-18,1619.T,-0.002054275256,9,neutral,0
2026-06-18,1620.T,-0.006064170689,11,neutral,0
2026-06-18,1621.T,0.1793513844,3,long,1
2026-06-18,1622.T,-0.001167595948,8,neutral,0
2026-06-18,1623.T,-0.02338878545,13,short,0
2026-06-18,1624.T,-0.01879412363,12,neutral,0
2026-06-18,1625.T,-0.1819427431,17,short,0
2026-06-18,1626.T,-0.004264354554,10,neutral,0
2026-06-18,1627.T,0.1732331256,4,long,4
2026-06-18,1628.T,0.0250578135,5,long,2
2026-06-18,1629.T,-0.1786540712,16,short,199
2026-06-18,1630.T,0.1817396738,2,long,1
2026-06-18,1631.T,-0.1580223225,14,short,1
2026-06-18,1632.T,0.01212224733,7,neutral,0
2026-06-18,1633.T,0.01339057474,6,neutral,0
