date,ticker,score,rank,position,suggested_lots
2026-06-12,1617.T,-0.1402537815,16,short,1
2026-06-12,1618.T,0.1218632439,4,long,1
2026-06-12,1619.T,0.005396563564,8,neutral,0
2026-06-12,1620.T,0.0121847561,7,neutral,0
2026-06-12,1621.T,-0.1388958686,14,short,1
2026-06-12,1622.T,-3.582600733e-06,10,neutral,0
2026-06-12,1623.T,0.0211448805,5,long,0
2026-06-12,1624.T,0.01617717262,6,neutral,0
2026-06-12,1625.T,0.1467972334,1,long,0
2026-06-12,1626.T,0.001031415175,9,neutral,0
2026-06-12,1627.T,-0.1405350941,17,short,4
2026-06-12,1628.T,-0.01900991657,13,short,2
2026-06-12,1629.T,0.1443581445,2,long,197
2026-06-12,1630.T,-0.1401211413,15,short,1
2026-06-12,1631.T,0.1251466862,3,long,1
2026-06-12,1632.T,-0.006239250927,12,neutral,0
2026-06-12,1633.T,-0.00599951913,11,neutral,0
