date,ticker,score,rank,position,suggested_lots
2026-09-17,1617.T,0.06904494863,3,long,1
2026-09-17,1618.T,-0.06209549465,16,short,1
2026-09-17,1619.T,-0.01313194858,10,neutral,0
2026-09-17,1620.T,-0.02056405807,13,short,1
2026-09-17,1621.T,0.08196066698,1,long,1
2026-09-17,1622.T,0.006264759679,7,neutral,0
2026-09-17,1623.T,-0.01589651254,12,neutral,0
2026-09-17,1624.T,-0.01543263394,11,neutral,0
2026-09-17,1625.T,-0.07398660641,17,short,0
2026-09-17,1626.T,0.0009357124659,8,neutral,0
2026-09-17,1627.T,0.05097591118,4,long,3
2026-09-17,1628.T,0.01728814555,5,long,2
2026-09-17,1629.T,-0.05249624725,14,short,176
2026-09-17,1630.T,0.08174918438,2,long,1
2026-09-17,1631.T,-0.0595647905,15,short,1
2026-09-17,1632.T,-0.0001275509956,9,neutral,0
2026-09-17,1633.T,0.01492167574,6,neutral,0
