date,ticker,score,rank,position,suggested_lots
2026-05-22,1617.T,0.06318313709,1,long,1
2026-05-22,1618.T,-0.0656513459,17,short,1
2026-05-22,1619.T,0.004647029295,7,neutral,0
2026-05-22,1620.T,0.004967599533,6,neutral,0
2026-05-22,1621.T,0.0576985206,3,long,1
2026-05-22,1622.T,-0.002845025014,12,neutral,0
2026-05-22,1623.T,-2.833628459e-05,11,neutral,0
2026-05-22,1624.T,-0.007188286484,13,short,0
2026-05-22,1625.T,-0.05461041773,14,short,0
2026-05-22,1626.T,0.002266819921,9,neutral,0
2026-05-22,1627.T,0.04668240234,4,long,4
2026-05-22,1628.T,0.0005522715947,10,neutral,0
2026-05-22,1629.T,-0.05722163108,16,short,179
2026-05-22,1630.T,0.06006346687,2,long,1
2026-05-22,1631.T,-0.05575770986,15,short,1
2026-05-22,1632.T,0.004067622685,8,neutral,0
2026-05-22,1633.T,0.006215829268,5,long,0
