date,ticker,score,rank,position,suggested_lots
2026-05-15,1617.T,-0.1720850694,17,short,1
2026-05-15,1618.T,0.1681090579,1,long,1
2026-05-15,1619.T,-0.008406102793,10,neutral,0
2026-05-15,1620.T,-0.0109181248,11,neutral,0
2026-05-15,1621.T,-0.158706589,15,short,1
2026-05-15,1622.T,-0.003989987522,8,neutral,0
2026-05-15,1623.T,0.0004489152505,6,neutral,0
2026-05-15,1624.T,0.01470690273,5,long,0
2026-05-15,1625.T,0.1455268923,3,long,0
2026-05-15,1626.T,-0.000810201293,7,neutral,0
2026-05-15,1627.T,-0.136460184,14,short,4
2026-05-15,1628.T,-0.005395276427,9,neutral,0
2026-05-15,1629.T,0.1508630927,2,long,168
2026-05-15,1630.T,-0.1641131705,16,short,1
2026-05-15,1631.T,0.1449126876,4,long,1
2026-05-15,1632.T,-0.01344899778,12,neutral,0
2026-05-15,1633.T,-0.01450697429,13,short,0
