date,ticker,score,rank,position,suggested_lots
2026-05-29,1617.T,-0.09213247036,17,short,1
2026-05-29,1618.T,0.0938779753,1,long,1
2026-05-29,1619.T,-0.002335055199,10,neutral,0
2026-05-29,1620.T,-0.003541154449,11,neutral,0
2026-05-29,1621.T,-0.08735971383,15,short,1
2026-05-29,1622.T,0.004873450413,7,neutral,0
2026-05-29,1623.T,0.005654450539,6,neutral,0
2026-05-29,1624.T,0.01002864215,5,long,0
2026-05-29,1625.T,0.08573237776,3,long,0
2026-05-29,1626.T,-0.002294346374,9,neutral,0
2026-05-29,1627.T,-0.0758927393,14,short,4
2026-05-29,1628.T,-0.001115640236,8,neutral,0
2026-05-29,1629.T,0.0911273953,2,long,184
2026-05-29,1630.T,-0.08978647645,16,short,1
2026-05-29,1631.T,0.08332179695,4,long,1
2026-05-29,1632.T,-0.004321234274,13,short,1
2026-05-29,1633.T,-0.0041680022,12,neutral,0
