date,ticker,score,rank,position,suggested_lots
2026-06-26,1617.T,0.2596923736,1,long,1
2026-06-26,1618.T,-0.2375544307,15,short,1
2026-06-26,1619.T,-0.01057984382,9,neutral,0
2026-06-26,1620.T,-0.02260210647,11,neutral,0
2026-06-26,1621.T,0.2552728532,2,long,1
2026-06-26,1622.T,-0.008413634779,8,neutral,0
2026-06-26,1623.T,-0.04437096814,13,short,0
2026-06-26,1624.T,-0.03989834842,12,neutral,0
2026-06-26,1625.T,-0.2661097585,17,short,0
2026-06-26,1626.T,-0.01363309897,10,neutral,0
2026-06-26,1627.T,0.2376220829,4,long,4
2026-06-26,1628.T,0.04219529661,5,long,2
2026-06-26,1629.T,-0.2486322961,16,short,205
2026-06-26,1630.T,0.2548815681,3,long,1
2026-06-26,1631.T,-0.2250020022,14,short,1
2026-06-26,1632.T,0.01228117152,7,neutral,0
2026-06-26,1633.T,0.01863899345,6,neutral,0
