date,ticker,score,rank,position,suggested_lots
2026-06-16,1617.T,-0.161448286,17,short,1
2026-06-16,1618.T,0.1361965147,4,long,1
2026-06-16,1619.T,0.003987399836,10,neutral,0
2026-06-16,1620.T,0.00763915038,7,neutral,0
2026-06-16,1621.T,-0.152720368,15,short,1
2026-06-16,1622.T,0.004056790619,9,neutral,0
2026-06-16,1623.T,0.02140740263,5,long,0
2026-06-16,1624.T,0.01791727398,6,neutral,0
2026-06-16,1625.T,0.1585522034,1,long,0
2026-06-16,1626.T,0.004879416535,8,neutral,0
2026-06-16,1627.T,-0.1478989725,14,short,4
2026-06-16,1628.T,-0.02073947464,13,short,2
2026-06-16,1629.T,0.1546448567,2,long,197
2026-06-16,1630.T,-0.1548643016,16,short,1
2026-06-16,1631.T,0.1368606176,3,long,1
2026-06-16,1632.T,-0.009581570509,12,neutral,0
2026-06-16,1633.T,-0.009119027823,11,neutral,0
