date,ticker,score,rank,position,suggested_lots
2026-05-28,1617.T,0.04910219035,1,long,1
2026-05-28,1618.T,-0.04651731266,16,short,1
2026-05-28,1619.T,0.002036591301,9,neutral,0
2026-05-28,1620.T,0.002235761658,7,neutral,0
2026-05-28,1621.T,0.04689337997,3,long,1
2026-05-28,1622.T,-0.001712334729,12,neutral,0
2026-05-28,1623.T,-0.0009811768026,11,neutral,0
2026-05-28,1624.T,-0.003657885845,13,short,0
2026-05-28,1625.T,-0.04411663108,15,short,0
2026-05-28,1626.T,0.0007076715106,10,neutral,0
2026-05-28,1627.T,0.0434945279,4,long,4
2026-05-28,1628.T,0.003185135374,5,long,2
2026-05-28,1629.T,-0.04758337863,17,short,185
2026-05-28,1630.T,0.0473879446,2,long,1
2026-05-28,1631.T,-0.04315429373,14,short,1
2026-05-28,1632.T,0.002377792709,6,neutral,0
2026-05-28,1633.T,0.002175680893,8,neutral,0
