date,ticker,score,rank,position,suggested_lots
2026-05-21,1617.T,0.06885984814,1,long,1
2026-05-21,1618.T,-0.06698878503,17,short,1
2026-05-21,1619.T,0.003247006023,7,neutral,0
2026-05-21,1620.T,0.002901713491,9,neutral,0
2026-05-21,1621.T,0.06499148702,3,long,1
2026-05-21,1622.T,-0.002641716693,12,neutral,0
2026-05-21,1623.T,-0.001289621336,11,neutral,0
2026-05-21,1624.T,-0.005608762254,13,short,0
2026-05-21,1625.T,-0.06188337628,15,short,0
2026-05-21,1626.T,0.001567584575,10,neutral,0
2026-05-21,1627.T,0.05983874273,4,long,4
2026-05-21,1628.T,0.003593174959,6,neutral,0
2026-05-21,1629.T,-0.06677942269,16,short,179
2026-05-21,1630.T,0.06609291579,2,long,1
2026-05-21,1631.T,-0.06049544146,14,short,1
2026-05-21,1632.T,0.003082019058,8,neutral,0
2026-05-21,1633.T,0.003659640412,5,long,0
