field,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
ticker,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,11.861098848417488,17.00693864105523,8.838903044500658,20.752863286867054,9.326383566146028,17.10847751029366,8.943277344079265,23.87862246984889,12.26758871003955,11352.851405931557,7423.715390625,7421.434570312499,8636.111328125,8192.668623968835,8720.600831210153,13411.39406292575,12594.19947228065,9084.671555363939,6907.8916015625,9185.186410857908,7589.48583984375,-319800.91589005943,7128.285472395233,4742.719112828636,5693.235904245354,13625.7353515625,12.016514778137207,17.268268585205078,8.942388534545898,20.922786712646484,9.378779411315918,17.250778198242188,8.88609504699707,23.984851837158203,12.30861759185791,11337.447265625,7436.373046875,7421.4345703125,8636.111328125,8110.890625,8768.0322265625,13326.6650390625,12655.041015625,9101.9921875,6907.8916015625,9176.9853515625,7589.48583984375,-319973.78125,7103.7333984375,4672.10791015625,5679.61572265625,13625.7353515625
2010-01-05,12.03770868998486,17.29176230675916,8.930213369540773,20.89323834970728,9.390874838888786,17.263712490504602,8.860361912511337,23.946911424196152,12.312717542415832,11368.254249510388,7524.977253258965,7526.1545991247895,8739.11362696738,8222.405777269109,8781.58408668882,13490.068795986277,12860.380859375,9205.915061900725,6963.66458573903,9250.7958984375,7688.446872084887,-326715.4829244032,7144.65240241079,4713.298310473449,5788.577473958334,13708.868130878336,12.05536937713623,17.40921401977539,9.1067476272583,20.99666976928711,9.366692543029785,17.257244110107422,8.780306816101074,23.749629974365234,12.35374641418457,11306.6376953125,7676.869140625,7532.48974609375,8683.65234375,8170.365234375,8666.3935546875,13726.099609375,12860.380859375,9257.876953125,6979.7841796875,9250.7958984375,7650.38525390625,-325851.15625,7152.83642578125,4695.6455078125,5822.6279296875,13700.5546875
2010-01-06,12.058900050352953,17.41801435665038,9.100661132513453,20.944951396643933,9.366690903488323,17.237841997494684,8.77459009927945,23.749622774045328,12.345540232284863,11314.34121120251,7695.85412397541,7576.835401251575,8683.650617897727,8177.798539034296,8646.06515588493,13605.058166611552,12814.748454257582,9179.934411080349,7012.023091587771,9226.191332986264,7718.893440866797,-328098.4164814331,7201.940780191874,4725.066617799037,5788.5770281933255,13792.005696517988,12.260234832763672,17.6176815032959,9.12501049041748,21.04099464416504,9.261899948120117,17.24431037902832,8.831771850585938,23.992431640625,12.370157241821289,11352.8515625,7721.16943359375,7545.15966796875,8715.3427734375,8237.2734375,8700.2724609375,13726.099609375,12852.7744140625,9188.5947265625,7076.50146484375,9291.7998046875,7772.1796875,-330518.53125,7251.044921875,4848.63623046875,5917.96875,14008.1552734375
2010-01-07,12.20019108206688,17.541340862599974,9.143270201084231,21.00405902877495,9.26996083310724,17.296056197579766,8.820333465845897,23.901381448212028,12.448112672093098,11306.6376953125,7733.828282019073,7576.835565786729,8699.496655607876,8207.53494730281,8686.722032846894,13859.243054889577,12883.19675813841,9188.595687388923,7068.441668186753,9308.202597707694,7734.119435400438,-331209.9874671916,7234.677304025424,4913.363806777972,5992.8806281708,14124.539737426036,12.164868354797363,17.591257095336914,9.319805145263672,21.27002716064453,9.225625991821289,17.24431037902832,8.791742324829102,24.075899124145508,12.472729682922363,11306.6376953125,7714.841796875,7589.505859375,8675.7275390625,8200.1005859375,8618.962890625,13804.7744140625,12761.513671875,9136.6337890625,7076.50146484375,9341.0068359375,7817.85498046875,-329308.46875,7242.861328125,4936.90087890625,6040.55126953125,14049.71875
2010-01-08,12.136606951522033,17.52959600591414,9.271109618326541,21.277405160499896,9.213535576152267,17.205491788509946,8.780307716068544,24.12143374125142,12.427597934097275,11368.255624681771,7714.844019732737,7678.197822968363,8794.57203428741,8148.061377840909,8774.807344379557,13859.245831724405,12928.829170910942,9136.632227109594,7116.801008228813,9324.603446540666,7817.854255786203,-332420.0986884715,7308.3334624001345,4972.20654296875,6060.980796089386,14049.721024816177,12.3344087600708,17.705772399902344,9.265022277832031,21.609865188598633,9.286083221435547,17.186086654663086,8.783166885375977,24.113845825195312,12.468626022338867,11345.1494140625,7607.25390625,7659.1923828125,8762.8798828125,8177.798828125,8829.0146484375,13713.99609375,13065.72265625,9275.197265625,7108.7412109375,9390.2119140625,7924.4267578125,-333630.15625,7234.67724609375,4972.20654296875,6095.03125,14132.85546875
2010-01-11,12.48982612897056,17.820283993460876,9.356333062217963,21.757637379319526,9.326384727586714,17.179619410567522,8.806039612516765,24.24282933574889,12.493247457739779,,,,,,,,,,,,,,,,,,12.267297744750977,17.682279586791992,9.271109580993652,21.84629249572754,9.249807357788086,17.231365203857422,8.874658584594727,24.250415802001953,12.444012641906738,,,,,,,,,,,,,,,,,
2010-01-12,12.090687048134084,17.41213767378638,9.19805920090001,21.6615876705657,9.19741434754244,17.16669380652322,8.84892866892468,24.14418890120584,12.37015938262299,11399.064918405114,7626.238795083172,7633.852074032738,8723.26611591113,8177.798828124999,8930.654641888099,13919.76760825032,12928.828034577547,9283.860849329325,7149.60400390625,9390.213227488022,7977.711914062499,-334321.6302109812,7242.861270127793,4913.363880216019,6129.081320631201,14207.677452858716,12.034172058105469,17.42681884765625,9.137185096740723,21.668975830078125,9.149049758911133,17.328399658203125,8.837491989135742,24.075899124145508,12.2839994430542,11445.27734375,7740.15771484375,7716.208984375,8826.265625,8177.798828125,9052.62109375,14125.5380859375,13141.7734375,9361.8037109375,7149.60400390625,9414.81640625,7977.7119140625,-340026.1875,7234.67724609375,4983.97509765625,6176.751953125,14390.5732421875
2010-01-13,12.065965262571286,17.418015641519517,9.137182845491177,21.63203351808902,9.189352276632205,17.334861753946647,8.860361351186292,24.13660371345723,12.333231618033246,11476.083905672851,7607.25390625,7678.1982421875,8857.95703125,8125.756972284395,9147.483785377359,14016.599946709664,13187.403190480492,9318.500320065177,7084.561283944569,9414.816630434783,7916.813981292107,-335358.7516242204,7324.70166015625,4983.975032552084,6210.802695225501,14349.00502297794,12.175463676452637,17.491422653198242,9.240668296813965,21.75762939453125,9.237717628479004,17.451290130615234,8.934698104858398,24.394588470458984,12.423495292663574,11468.3818359375,7607.25390625,7678.1982421875,8857.95703125,8200.1005859375,8978.0859375,13841.08984375,13156.982421875,9301.1796875,7197.3984375,9431.21875,7909.20166015625,-332592.90625,7324.70166015625,4942.78515625,6115.46142578125,14132.85546875
